A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A1,B13,CW4,DQ6,DR15,DR51,NULL,NULL,6.01993e-05
A1,B13,CW6,DQ2,DR7,NULL,NULL,DR53,0.001053487
A1,B13,CW6,DQ4,DR8,NULL,NULL,DR53,7.02325e-05
A1,B13,CW6,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A1,B13,CW6,DQ6,DR13,NULL,DR52,NULL,5.0166e-05
A1,B13,CW6,DQ7,DR11,NULL,DR52,NULL,5.0166e-05
A1,B13,CW6,DQ7,DR4,NULL,NULL,DR53,7.02325e-05
A1,B13,CW6,DQ7,DR8,NULL,NULL,DR53,6.01993e-05
A1,B15,CW1,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A1,B15,CW1,DQ6,DR13,NULL,DR52,NULL,7.02325e-05
A1,B15,CW1,DQ9,DR9,NULL,NULL,DR53,6.01993e-05
A1,B15,CW10,DQ2,DR17,NULL,DR52,NULL,7.02325e-05
A1,B15,CW10,DQ7,DR12,NULL,DR52,NULL,5.0166e-05
A1,B15,CW10,DQ8,DR4,NULL,NULL,DR53,0.000953155
A1,B15,CW12,DQ2,DR7,NULL,NULL,DR53,6.01993e-05
A1,B15,CW4,DQ6,DR13,NULL,DR52,NULL,0.000110365
A1,B15,CW4,DQ7,DR12,NULL,DR52,NULL,6.01993e-05
A1,B15,CW4,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A1,B15,CW7,DQ5,DR14,NULL,DR52,NULL,2.00664e-05
A1,B15,CW7,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A1,B15,CW7,DQ8,DR4,NULL,NULL,DR53,2.00664e-05
A1,B15,CW9,DQ5,DR1,NULL,NULL,NULL,0.00031103
A1,B15,CW9,DQ5,DR14,NULL,DR52,NULL,0.000100332
A1,B15,CW9,DQ6,DR13,NULL,DR52,NULL,0.000712358
A1,B15,CW9,DQ7,DR11,NULL,DR52,NULL,0.000461528
A1,B15,CW9,DQ7,DR4,NULL,NULL,DR53,5.0166e-05
